ClipID,Engagement
1100011002.jpg,1
1100011003.jpg,1
1100011004.jpg,1
1100011005.jpg,1
1100011006.jpg,1
1100011007.jpg,1
1100011008.jpg,1
1100011009.jpg,1
1100011010.jpg,1
1100011011.jpg,1
1100011012.jpg,1
1100011013.jpg,1
1100011014.jpg,1
1100011015.jpg,1
1100011016.jpg,1
1100011017.jpg,1
1100011018.jpg,1
1100011019.jpg,1
1100011020.jpg,1
1100011021.jpg,1
1100011022.jpg,1
1100011023.jpg,1
1100011025.jpg,1
1100011026.jpg,1
1100011027.jpg,1
1100011028.jpg,1
1100011029.jpg,1
1100011031.jpg,1
1100011032.jpg,1
1100011034.jpg,1
1100011035.jpg,1
1100011037.jpg,1
1100011038.jpg,1
1100011040.jpg,1
1100011046.jpg,1
1100011047.jpg,1
1100011048.jpg,1
1100011049.jpg,1
1100011050.jpg,1
1100011051.jpg,1
1100011052.jpg,1
1100011053.jpg,1
1100011054.jpg,1
1100011055.jpg,1
1100011056.jpg,1
1100011057.jpg,1
1100011058.jpg,1
1100011059.jpg,1
1100011060.jpg,1
1100011062.jpg,1
1100011063.jpg,1
1100011064.jpg,1
1100011066.jpg,1
1100011067.jpg,1
1100011068.jpg,1
1100011069.jpg,1
1100011070.jpg,1
1100011071.jpg,1
1100011072.jpg,1
1100011073.jpg,1
1100011075.jpg,1
1100011076.jpg,1
1100011078.jpg,1
1100011079.jpg,1
1100011080.jpg,1
1100011081.jpg,1
1100011082.jpg,1
1100011083.jpg,1
1100012001.jpg,1
1100012003.jpg,1
1100012007.jpg,1
1100012008.jpg,1
1100012009.jpg,1
1100012010.jpg,1
1100012011.jpg,1
1100012013.jpg,1
1100012014.jpg,1
1100012015.jpg,1
1100012016.jpg,1
1100012017.jpg,1
1100012018.jpg,1
1100012021.jpg,1
1100012022.jpg,1
1100012023.jpg,1
1100012025.jpg,1
1100012026.jpg,1
1100012027.jpg,1
1100012028.jpg,1
1100012030.jpg,1
1100012031.jpg,1
1100012032.jpg,1
1100012033.jpg,1
1100012036.jpg,1
1100012037.jpg,1
1100012038.jpg,1
1100012041.jpg,1
1100012042.jpg,1
1100012045.jpg,1
1100012046.jpg,1
1100012047.jpg,1
1100012049.jpg,1
1100012050.jpg,1
1100012051.jpg,1
1100012052.jpg,1
1100012057.jpg,1
1100012059.jpg,1
1100012060.jpg,1
1100012061.jpg,1
1100012062.jpg,1
1100012063.jpg,1
1100012064.jpg,1
1100012065.jpg,1
1100012066.jpg,1
1100012069.jpg,1
1100021001.jpg,1
1100021003.jpg,0
1100021015.jpg,1
1100021038.jpg,1
1100021039.jpg,1
1100021040.jpg,1
1100021045.jpg,1
1100021050.jpg,1
1100021055.jpg,0
1100022001.jpg,1
1100022002.jpg,1
1100022003.jpg,1
1100022004.jpg,1
1100022005.jpg,0
1100022008.jpg,1
1100022009.jpg,1
1100022014.jpg,1
1100022019.jpg,1
1100022020.jpg,1
1100022021.jpg,1
1100022022.jpg,1
1100022026.jpg,1
1100022027.jpg,1
1100022028.jpg,1
1100022029.jpg,1
1100022031.jpg,1
1100022035.jpg,1
1100022038.jpg,1
1100022039.jpg,1
1100022045.jpg,1
1100022046.jpg,1
1100022047.jpg,1
1100022048.jpg,1
1100022049.jpg,1
1100022051.jpg,1
1100022052.jpg,1
1100022053.jpg,1
1100022054.jpg,1
1100022055.jpg,1
1100022056.jpg,1
1100022057.jpg,1
1100041006.jpg,1
1100041015.jpg,1
1100041016.jpg,1
1100041017.jpg,1
1100041018.jpg,1
1100041021.jpg,1
1100041022.jpg,1
1100041023.jpg,1
1100041024.jpg,1
1100041029.jpg,1
1100041034.jpg,1
1100041044.jpg,1
1100041051.jpg,1
1100041052.jpg,1
1100042009.jpg,1
1100042010.jpg,1
1100042011.jpg,1
1100042017.jpg,1
1100042018.jpg,1
1100042019.jpg,1
1100042020.jpg,1
1100042023.jpg,0
1100042024.jpg,1
1100042025.jpg,1
1100042026.jpg,0
1100042029.jpg,1
1100042030.jpg,1
1100042031.jpg,1
1100042034.jpg,1
1100042040.jpg,1
1100042041.jpg,1
1100042058.jpg,1
1100042059.jpg,1
1100042060.jpg,1
1100051002.jpg,1
1100051004.jpg,1
1100051006.jpg,1
1100051007.jpg,0
1100051008.jpg,1
1100051009.jpg,1
1100051011.jpg,1
1100051012.jpg,1
1100051013.jpg,1
1100051014.jpg,1
1100051016.jpg,0
1100051017.jpg,1
1100051019.jpg,1
1100051020.jpg,1
1100051021.jpg,1
1100051022.jpg,1
1100051023.jpg,1
1100051024.jpg,1
1100051025.jpg,1
1100051026.jpg,1
1100051028.jpg,1
1100051029.jpg,1
1100051030.jpg,0
1100051031.jpg,0
1100051032.jpg,1
1100051033.jpg,1
1100051034.jpg,1
1100051035.jpg,1
1100051036.jpg,1
1100051037.jpg,1
1100051039.jpg,1
1100051041.jpg,1
1100051042.jpg,1
1100051044.jpg,1
1100051045.jpg,1
1100051046.jpg,1
1100051048.jpg,1
1100051049.jpg,1
1100051050.jpg,1
1100051051.jpg,1
1100051052.jpg,1
1100051053.jpg,0
1100051054.jpg,1
1100051055.jpg,1
1100051056.jpg,1
1100051057.jpg,1
1100051059.jpg,1
1100051061.jpg,1
1100051062.jpg,1
1100051064.jpg,1
1100051065.jpg,1
1100051066.jpg,1
1100051067.jpg,1
1100051068.jpg,1
1100051071.jpg,1
1100051076.jpg,1
1100051078.jpg,1
1100051079.jpg,1
1100052001.jpg,1
1100052002.jpg,1
1100052006.jpg,1
1100052007.jpg,1
1100052008.jpg,1
1100052009.jpg,1
1100052014.jpg,0
1100052023.jpg,1
1100052024.jpg,1
1100052026.jpg,1
1100052027.jpg,1
1100052028.jpg,1
1100052030.jpg,1
1100052031.jpg,1
1100052032.jpg,1
1100052033.jpg,1
1100052035.jpg,1
1100052036.jpg,1
1100052037.jpg,1
1100052038.jpg,1
1100052039.jpg,1
1100052040.jpg,1
1100052041.jpg,1
1100052047.jpg,1
1100052048.jpg,1
1100052049.jpg,1
1100052051.jpg,1
1100052055.jpg,1
1100052057.jpg,1
1100052060.jpg,1
1100052061.jpg,1
1100052062.jpg,1
1100052065.jpg,1
1100052068.jpg,1
1100052070.jpg,1
1100061009.jpg,1
1100061010.jpg,1
1100061011.jpg,1
1100061012.jpg,1
1100061013.jpg,1
1100061015.jpg,1
1100061016.jpg,1
1100061018.jpg,1
1100061019.jpg,1
1100061022.jpg,1
1100061023.jpg,1
1100061025.jpg,1
1100061027.jpg,1
1100061028.jpg,1
1100061030.jpg,1
1100061031.jpg,1
1100061032.jpg,1
1100061033.jpg,1
1100061034.jpg,1
1100061035.jpg,1
1100061036.jpg,1
1100061038.jpg,1
1100061039.jpg,1
1100061040.jpg,1
1100061042.jpg,1
1100061043.jpg,1
1100061044.jpg,1
1100061046.jpg,1
1100061047.jpg,1
1100061048.jpg,1
1100061049.jpg,1
1100061050.jpg,1
1100061051.jpg,1
1100061053.jpg,1
1100061057.jpg,1
1100061058.jpg,1
1100061061.jpg,1
1100061063.jpg,1
1100061064.jpg,1
1100061067.jpg,1
1100061068.jpg,1
1100061069.jpg,1
1100061073.jpg,1
1100061074.jpg,1
1100061077.jpg,1
1100061078.jpg,1
1100062004.jpg,1
1100062005.jpg,1
1100062007.jpg,1
1100062008.jpg,0
1100062009.jpg,1
1100062016.jpg,1
1100062017.jpg,1
1100062024.jpg,1
1100062028.jpg,1
1100062029.jpg,1
1100062036.jpg,1
1100062037.jpg,1
1100062044.jpg,1
1100062045.jpg,0
1100062046.jpg,1
1100062049.jpg,0
1100062051.jpg,1
1100062053.jpg,1
1100062054.jpg,1
