ClipID,Engagement
1100011002.jpeg,2
1100011003.jpeg,2
1100011004.jpeg,3
1100011005.jpeg,3
1100011006.jpeg,3
1100011007.jpeg,2
1100011008.jpeg,3
1100011009.jpeg,2
1100011010.jpeg,3
1100011011.jpeg,3
1100011012.jpeg,2
1100011013.jpeg,3
1100011014.jpeg,3
1100011015.jpeg,3
1100011016.jpeg,3
1100011017.jpeg,3
1100011018.jpeg,3
1100011019.jpeg,3
1100011020.jpeg,3
1100011021.jpeg,3
1100011022.jpeg,3
1100011023.jpeg,3
1100011025.jpeg,3
1100011026.jpeg,3
1100011027.jpeg,3
1100011028.jpeg,3
1100011029.jpeg,3
1100011031.jpeg,3
1100011032.jpeg,3
1100011034.jpeg,3
1100011035.jpeg,3
1100011037.jpeg,3
1100011038.jpeg,3
1100011040.jpeg,2
1100011046.jpeg,3
1100011047.jpeg,3
1100011048.jpeg,2
1100011049.jpeg,3
1100011050.jpeg,3
1100011051.jpeg,3
1100011052.jpeg,3
1100011053.jpeg,3
1100011054.jpeg,3
1100011055.jpeg,3
1100011056.jpeg,3
1100011057.jpeg,3
1100011058.jpeg,3
1100011059.jpeg,3
1100011060.jpeg,3
1100011062.jpeg,3
1100011063.jpeg,3
1100011064.jpeg,3
1100011066.jpeg,3
1100011067.jpeg,3
1100011068.jpeg,3
1100011069.jpeg,3
1100011070.jpeg,3
1100011071.jpeg,3
1100011072.jpeg,3
1100011073.jpeg,3
1100011075.jpeg,3
1100011076.jpeg,3
1100011078.jpeg,2
1100011079.jpeg,3
1100011080.jpeg,3
1100011081.jpeg,3
1100011082.jpeg,3
1100011083.jpeg,3
1100012001.jpeg,3
1100012003.jpeg,3
1100012007.jpeg,3
1100012008.jpeg,3
1100012009.jpeg,3
1100012010.jpeg,3
1100012011.jpeg,3
1100012013.jpeg,3
1100012014.jpeg,3
1100012015.jpeg,3
1100012016.jpeg,3
1100012017.jpeg,3
1100012018.jpeg,3
1100012021.jpeg,2
1100012022.jpeg,3
1100012023.jpeg,3
1100012025.jpeg,3
1100012026.jpeg,3
1100012027.jpeg,3
1100012028.jpeg,3
1100012030.jpeg,3
1100012031.jpeg,3
1100012032.jpeg,3
1100012033.jpeg,3
1100012036.jpeg,3
1100012037.jpeg,3
1100012038.jpeg,3
1100012041.jpeg,3
1100012042.jpeg,2
1100012045.jpeg,2
1100012046.jpeg,3
1100012047.jpeg,2
1100012049.jpeg,3
1100012050.jpeg,3
1100012051.jpeg,3
